name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand,car_age,selling_price
Maruti Swift Dzire VDI,2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,Maruti,12,450000
Skoda Rapid 1.5 TDI Ambition,2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5,Skoda,12,370000
Honda City 2017-2020 EXi,2006,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5,Honda,20,158000
Hyundai i20 Sportz Diesel,2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5,Hyundai,16,225000
Maruti Swift VXI BSIII,2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5,Maruti,19,130000
Hyundai Xcent 1.2 VTVT E Plus,2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5,Hyundai,9,440000
Maruti Wagon R LXI DUO BSIII,2007,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5,Maruti,19,96000
Maruti 800 DX BSII,2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,Maruti,25,45000
Toyota Etios VXD,2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5,Toyota,15,350000
Ford Figo Diesel Celebration Edition,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5,Ford,13,200000
Renault Duster 110PS Diesel RxL,2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5,Renault,12,500000
Maruti Zen LX,2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5,Maruti,21,92000
Maruti Swift Dzire VDi,2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5,Maruti,17,280000
Maruti Swift 1.3 VXi,2007,80000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.0,5,Maruti,19,200000
Maruti Wagon R LXI Minor,2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,Maruti,17,180000
Mahindra KUV 100 mFALCON G80 K8 5str,2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5,Mahindra,10,400000
Maruti Ertiga SHVS VDI,2016,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7,Maruti,10,778000
Hyundai i20 1.4 CRDi Asta,2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5,Hyundai,14,500000
Maruti Alto LX,2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,Maruti,24,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,Hyundai,10,680000
Mahindra Verito 1.5 D4 BSIII,2011,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5,Mahindra,15,174000
Honda WR-V i-DTEC VX,2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5,Honda,9,950000
Maruti Swift Dzire ZDI,2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,Maruti,11,525000
Maruti SX4 ZDI,2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5,Maruti,14,600000
Tata Tigor 2017-2020 XZ,2018,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5,Tata,8,500000
Maruti Baleno Delta 1.2,2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,Maruti,10,575000
Maruti Alto 800 LXI,2017,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5,Maruti,9,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7,Chevrolet,13,300000
Maruti Wagon R LXI Minor,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5,Maruti,17,220000
